,Model,Year,Price,Transmission,Mileage,Fuel_type,Tax,Fuel_cons_mpg,Engine_size,Automatic,Manual,Semi-Auto
2631, 1 Series,2019,24990,Manual,10,1,145,53.3,2.0,0,1,0
2632, 1 Series,2016,21990,Semi-Auto,10,1,20,68.9,1.5,0,0,1
2633, 1 Series,2016,18990,Manual,10,1,20,72.4,1.5,0,1,0
2634, 3 Series,2019,29990,Semi-Auto,7460,1,145,48.7,2.0,0,0,1
2635, 3 Series,2019,28440,Semi-Auto,8788,1,145,48.7,2.0,0,0,1
2636, 5 Series,2020,32850,Semi-Auto,5,3,145,62.8,2.0,0,0,1
2637, X2,2020,26890,Manual,9,1,145,53.3,2.0,0,1,0
2638, 5 Series,2020,27990,Semi-Auto,8,3,145,52.3,2.0,0,0,1
2639, 4 Series,2020,33890,Semi-Auto,9,1,145,51.4,3.0,0,0,1
2640, 5 Series,2017,23980,Semi-Auto,29539,1,145,60.1,2.0,0,0,1
2641, 3 Series,2019,30326,Semi-Auto,3392,2,145,41.5,2.0,0,0,1
2643, 3 Series,2020,22850,Semi-Auto,12,2,145,43.5,2.0,0,0,1
2644, 5 Series,2016,16300,Semi-Auto,21464,1,20,68.9,2.0,0,0,1
2645, M4,2016,31870,Semi-Auto,21533,2,300,34.0,3.0,0,0,1
2646, X6,2016,32800,Semi-Auto,26615,1,200,44.8,3.0,0,0,1
2647, X5,2017,57990,Automatic,10,1,145,42.8,3.0,1,0,0
2648, 3 Series,2017,35990,Semi-Auto,112,1,145,51.4,3.0,0,0,1
2649, 1 Series,2020,21940,Manual,514,2,145,44.1,1.5,0,1,0
2650, 1 Series,2016,19490,Manual,10,1,0,78.5,1.5,0,1,0
2651, 4 Series,2018,25945,Semi-Auto,20011,2,145,41.5,3.0,0,0,1
2652, 3 Series,2018,22875,Semi-Auto,8973,2,145,47.9,2.0,0,0,1
2653, 2 Series,2019,21945,Semi-Auto,11687,2,145,47.9,2.0,0,0,1
2654, 2 Series,2019,22440,Manual,10,2,145,52.3,1.5,0,1,0
2655, X1,2016,20845,Semi-Auto,17699,2,160,44.8,2.0,0,0,1
2656, 3 Series,2019,31390,Semi-Auto,5029,2,145,40.9,2.0,0,0,1
2657, 3 Series,2019,24990,Manual,4753,1,145,64.2,2.0,0,1,0
2658, 3 Series,2019,24950,Manual,3238,1,145,64.2,2.0,0,1,0
2659, 5 Series,2019,30980,Semi-Auto,9709,1,145,56.5,3.0,0,0,1
2660, 3 Series,2019,23790,Semi-Auto,8178,2,145,47.9,2.0,0,0,1
2661, 3 Series,2019,23980,Semi-Auto,2198,2,145,47.9,2.0,0,0,1
2662, 4 Series,2019,24975,Semi-Auto,9533,1,145,65.7,2.0,0,0,1
2663, 2 Series,2018,23110,Semi-Auto,19598,2,145,39.8,3.0,0,0,1
2664, 4 Series,2016,17450,Semi-Auto,27089,1,30,65.7,2.0,0,0,1
2665, 1 Series,2017,22490,Semi-Auto,23120,2,145,39.8,3.0,0,0,1
2666, 2 Series,2015,16000,Semi-Auto,29788,1,30,64.2,2.0,0,0,1
2667, 2 Series,2020,26095,Manual,101,2,145,52.3,1.5,0,1,0
2668, 1 Series,2019,17697,Manual,3312,2,145,52.3,1.5,0,1,0
2669, X5,2017,50990,Automatic,10,1,145,47.1,3.0,1,0,0
2670, 1 Series,2017,24490,Manual,102,1,145,65.7,2.0,0,1,0
2671, 1 Series,2016,19490,Manual,10,1,20,72.4,1.5,0,1,0
2672, 1 Series,2016,19990,Manual,10,2,125,53.3,1.5,0,1,0
2673, Z4,2020,33490,Semi-Auto,10,2,145,38.7,2.0,0,0,1
2674, X1,2020,29450,Semi-Auto,10,1,145,40.9,2.0,0,0,1
2675, X5,2017,51990,Automatic,10,1,200,47.1,3.0,1,0,0
2676, 4 Series,2017,16900,Automatic,19834,1,145,65.7,2.0,1,0,0
2677, 3 Series,2018,15620,Manual,19281,1,145,60.1,2.0,0,1,0
2678, 2 Series,2020,24475,Manual,117,1,145,51.4,2.0,0,1,0
2679, 2 Series,2020,23475,Semi-Auto,12,2,145,50.4,1.5,0,0,1
2680, 4 Series,2018,22440,Semi-Auto,13673,2,145,48.7,2.0,0,0,1
2681, X1,2019,25450,Semi-Auto,5021,2,145,40.9,1.5,0,0,1
2682, 5 Series,2019,36875,Semi-Auto,10,1,145,53.3,3.0,0,0,1
2683, 5 Series,2019,26350,Semi-Auto,9062,1,145,65.7,2.0,0,0,1
2684, 1 Series,2016,20990,Manual,10,1,20,68.9,2.0,0,1,0
2685, 2 Series,2019,22950,Semi-Auto,11,1,145,64.2,2.0,0,0,1
2686, 2 Series,2019,23890,Semi-Auto,14,1,145,62.8,2.0,0,0,1
2687, 4 Series,2019,33490,Semi-Auto,10,1,145,51.4,3.0,0,0,1
2688, 5 Series,2019,35475,Semi-Auto,15,1,145,53.3,3.0,0,0,1
2689, 3 Series,2019,23775,Semi-Auto,2552,2,145,47.9,2.0,0,0,1
2690, 3 Series,2019,23775,Semi-Auto,2359,2,145,47.9,2.0,0,0,1
2691, 5 Series,2014,12298,Semi-Auto,52598,1,30,62.8,2.0,0,0,1
2692, 1 Series,2019,15995,Manual,5500,1,145,68.9,2.0,0,1,0
2693, 1 Series,2014,8250,Manual,67654,1,0,74.3,1.6,0,1,0
2694, 3 Series,2014,14894,Semi-Auto,36771,1,125,57.6,3.0,0,0,1
2695, 3 Series,2016,18000,Semi-Auto,29978,1,160,51.4,3.0,0,0,1
2696, 5 Series,2018,27980,Semi-Auto,29482,1,145,53.3,3.0,0,0,1
2697, 4 Series,2016,24980,Manual,10,2,160,46.3,2.0,0,1,0
2698, 4 Series,2017,41990,Automatic,10,2,200,41.5,3.0,1,0,0
2699, X1,2017,25990,Manual,10,1,20,68.9,2.0,0,1,0
2700, X1,2017,30980,Semi-Auto,10,2,160,44.8,2.0,0,0,1
2701, 1 Series,2017,19490,Manual,10,2,125,53.3,1.5,0,1,0
2702, X6,2020,49975,Semi-Auto,2950,1,150,34.9,3.0,0,0,1
2703, 2 Series,2019,23975,Semi-Auto,3013,1,150,64.2,2.0,0,0,1
2704, 4 Series,2019,28975,Semi-Auto,3783,1,150,49.6,3.0,0,0,1
2705, 3 Series,2020,32475,Semi-Auto,12,1,145,48.7,2.0,0,0,1
2706, 5 Series,2020,32475,Semi-Auto,12,3,145,49.6,2.0,0,0,1
2707, 3 Series,2020,33475,Semi-Auto,12,1,145,48.7,2.0,0,0,1
2708, X6,2020,54975,Semi-Auto,1075,2,150,26.4,3.0,0,0,1
2709, X2,2018,22470,Semi-Auto,10500,1,145,61.4,2.0,0,0,1
2710, 3 Series,2015,14998,Semi-Auto,81455,1,200,49.6,3.0,0,0,1
2711, 3 Series,2018,21998,Semi-Auto,17810,1,145,60.1,2.0,0,0,1
2712, 3 Series,2018,19498,Semi-Auto,17686,1,145,64.2,2.0,0,0,1
2713, X2,2019,27990,Semi-Auto,10,2,145,38.7,2.0,0,0,1
2714, X5,2017,55990,Automatic,10,1,145,47.1,3.0,1,0,0
2715, 2 Series,2017,21990,Manual,10,1,145,64.2,2.0,0,1,0
2716, 2 Series,2017,20990,Semi-Auto,10,2,145,52.3,1.5,0,0,1
2717, 3 Series,2019,26450,Manual,3055,1,145,54.3,2.0,0,1,0
2718, 3 Series,2019,26450,Manual,3093,1,145,54.3,2.0,0,1,0
2719, X1,2017,20375,Semi-Auto,28005,1,125,57.6,2.0,0,0,1
2721, 4 Series,2019,23450,Semi-Auto,11,1,145,65.7,2.0,0,0,1
2722, 5 Series,2019,35790,Semi-Auto,12,1,145,53.3,3.0,0,0,1
2724, X6,2020,57990,Semi-Auto,3955,1,145,34.9,3.0,0,0,1
2725, X5,2020,48490,Semi-Auto,5656,1,145,37.7,3.0,0,0,1
2726, 1 Series,2017,20975,Semi-Auto,11932,2,145,39.8,3.0,0,0,1
2727, 3 Series,2019,31440,Semi-Auto,4675,2,145,40.9,2.0,0,0,1
2728, 3 Series,2019,23975,Semi-Auto,5749,2,145,47.9,2.0,0,0,1
2729, X1,2019,24775,Manual,6786,2,145,51.4,1.5,0,1,0
2730, X3,2019,32975,Semi-Auto,2715,1,145,54.3,2.0,0,0,1
2731, 5 Series,2020,26990,Semi-Auto,11,2,145,52.3,2.0,0,0,1
2732, 1 Series,2018,16275,Manual,12879,2,145,53.3,1.5,0,1,0
2733, X2,2019,27275,Semi-Auto,5177,1,145,48.7,2.0,0,0,1
2734, 3 Series,2019,24775,Manual,3368,1,145,64.2,2.0,0,1,0
2735, 1 Series,2015,9730,Manual,26845,1,0,78.5,1.5,0,1,0
2736, X1,2016,17410,Automatic,32123,1,125,57.6,2.0,1,0,0
2737, X1,2016,17207,Automatic,42761,1,145,55.4,2.0,1,0,0
2738, 3 Series,2014,11000,Semi-Auto,69382,1,125,57.6,3.0,0,0,1
2739, 5 Series,2013,10037,Automatic,77262,1,125,60.1,2.0,1,0,0
2740, 2 Series,2018,16419,Manual,11198,2,145,42.2,1.5,0,1,0
2741, 3 Series,2019,24775,Manual,3758,1,145,64.2,2.0,0,1,0
2742, 3 Series,2019,23990,Manual,4026,1,145,64.2,2.0,0,1,0
2743, 3 Series,2019,31390,Semi-Auto,3097,2,145,41.5,2.0,0,0,1
2744, X5,2019,44790,Semi-Auto,10776,1,145,37.7,3.0,0,0,1
2745, 1 Series,2019,28975,Semi-Auto,7110,2,150,34.5,2.0,0,0,1
2746, 3 Series,2019,25975,Semi-Auto,3119,2,150,42.2,2.0,0,0,1
2747, X3,2019,38975,Semi-Auto,6436,1,150,36.7,3.0,0,0,1
2748, 3 Series,2019,27975,Semi-Auto,8856,1,150,52.3,2.0,0,0,1
2749, X4,2019,35480,Semi-Auto,10395,1,150,42.8,2.0,0,0,1
2750, 2 Series,2020,23990,Semi-Auto,18,1,150,49.6,2.0,0,0,1
2751, 2 Series,2020,21890,Semi-Auto,12,2,150,50.4,1.5,0,0,1
2752, 4 Series,2020,25980,Semi-Auto,14,1,145,65.7,2.0,0,0,1
2753, 3 Series,2013,9200,Automatic,83944,1,125,60.1,2.0,1,0,0
2754, 3 Series,2019,31275,Semi-Auto,5494,2,145,41.5,2.0,0,0,1
2755, 3 Series,2019,24275,Semi-Auto,10361,1,145,62.8,2.0,0,0,1
2756, 4 Series,2019,24775,Semi-Auto,10535,1,145,65.7,2.0,0,0,1
2757, 5 Series,2019,26275,Semi-Auto,7585,1,145,65.7,2.0,0,0,1
2758, 5 Series,2019,33775,Semi-Auto,12900,1,145,53.3,3.0,0,0,1
2759, 5 Series,2019,28975,Semi-Auto,2013,1,145,60.1,2.0,0,0,1
2760, X1,2019,28790,Semi-Auto,3911,2,145,38.7,2.0,0,0,1
2761, 4 Series,2020,25775,Semi-Auto,12,1,150,65.7,2.0,0,0,1
2762, 1 Series,2014,10975,Manual,38000,1,30,65.7,2.0,0,1,0
2763, 3 Series,2019,25950,Semi-Auto,3977,2,145,43.5,2.0,0,0,1
2764, 5 Series,2019,26350,Semi-Auto,8324,1,145,65.7,2.0,0,0,1
2765, 3 Series,2020,30990,Semi-Auto,3656,1,150,50.4,2.0,0,0,1
2766, 3 Series,2020,27990,Semi-Auto,6565,2,150,42.2,2.0,0,0,1
2767, X2,2020,28490,Semi-Auto,6565,1,150,58.9,2.0,0,0,1
2768, 1 Series,2020,25450,Semi-Auto,6565,1,150,51.4,2.0,0,0,1
2769, X1,2020,25490,Semi-Auto,5656,1,150,47.9,2.0,0,0,1
2770, X2,2020,23990,Manual,15,1,150,55.4,2.0,0,1,0
2771, X5,2020,48975,Semi-Auto,9998,1,145,37.7,3.0,0,0,1
2772, 2 Series,2020,26475,Semi-Auto,12,1,145,51.4,2.0,0,0,1
2773, 3 Series,2020,26490,Semi-Auto,14,1,150,60.1,2.0,0,0,1
2774, 3 Series,2019,29975,Manual,1254,1,145,54.3,2.0,0,1,0
2775, 3 Series,2019,27275,Manual,3377,1,145,54.3,2.0,0,1,0
2776, 2 Series,2019,22275,Manual,12,2,145,42.2,1.5,0,1,0
2777, 3 Series,2019,28775,Semi-Auto,5800,1,145,52.3,2.0,0,0,1
2778, 3 Series,2019,24775,Manual,3043,1,145,64.2,2.0,0,1,0
2779, M4,2019,39275,Semi-Auto,8787,2,145,34.0,3.0,0,0,1
2780, M4,2019,42275,Semi-Auto,9403,2,145,32.5,3.0,0,0,1
2781, 3 Series,2018,24475,Semi-Auto,10548,2,145,46.3,2.0,0,0,1
2782, 3 Series,2018,24790,Semi-Auto,12,2,145,48.7,2.0,0,0,1
2783, 3 Series,2018,27490,Semi-Auto,12,1,145,57.7,2.0,0,0,1
2784, X1,2019,25450,Semi-Auto,6908,2,145,40.9,1.5,0,0,1
2785, X3,2019,34440,Semi-Auto,11,1,145,54.3,2.0,0,0,1
2786, X2,2020,22980,Semi-Auto,10,2,145,43.5,1.5,0,0,1
2787, 3 Series,2020,29990,Semi-Auto,9,1,145,51.4,2.0,0,0,1
2788, X2,2020,34450,Semi-Auto,14,2,145,34.0,2.0,0,0,1
2789, 5 Series,2020,31450,Semi-Auto,8,3,145,60.1,2.0,0,0,1
2790, 5 Series,2020,29950,Semi-Auto,6,3,145,49.6,2.0,0,0,1
2791, X3,2020,39990,Semi-Auto,4773,1,150,48.7,3.0,0,0,1
2792, 3 Series,2014,12475,Manual,51122,1,30,62.8,2.0,0,1,0
2793, 2 Series,2020,26490,Semi-Auto,10,1,150,47.1,2.0,0,0,1
2794, 4 Series,2018,22275,Semi-Auto,18243,2,145,48.7,2.0,0,0,1
2795, 2 Series,2019,23775,Manual,34,1,145,60.1,2.0,0,1,0
2796, 2 Series,2019,22775,Manual,10,1,145,51.4,2.0,0,1,0
2797, 5 Series,2019,31475,Semi-Auto,12,2,145,48.7,2.0,0,0,1
2798, 4 Series,2019,33975,Semi-Auto,11,1,145,51.4,3.0,0,0,1
2799, 4 Series,2019,24275,Semi-Auto,13,2,145,45.6,2.0,0,0,1
2800, 4 Series,2019,24275,Semi-Auto,12,2,145,45.6,2.0,0,0,1
2801, 4 Series,2019,23975,Semi-Auto,13,2,145,45.6,2.0,0,0,1
2802, X2,2018,28990,Manual,12,1,145,52.3,2.0,0,1,0
2803, X3,2018,39650,Semi-Auto,12,1,145,54.3,2.0,0,0,1
2804, 5 Series,2019,26350,Semi-Auto,14345,1,145,65.7,2.0,0,0,1
2805, X1,2019,25999,Semi-Auto,4575,1,145,60.1,2.0,0,0,1
2806, X1,2019,25999,Semi-Auto,2974,1,145,60.1,2.0,0,0,1
2807, 4 Series,2016,18475,Semi-Auto,10545,1,30,65.7,2.0,0,0,1
2808, 4 Series,2017,23475,Semi-Auto,29819,1,145,50.4,3.0,0,0,1
2809, X4,2019,40775,Semi-Auto,5450,2,145,26.9,3.0,0,0,1
2810, M4,2019,43950,Semi-Auto,19,2,145,34.0,3.0,0,0,1
2811, 3 Series,2019,23980,Semi-Auto,2760,1,145,62.8,2.0,0,0,1
2812, 1 Series,2019,18450,Semi-Auto,5882,2,145,54.3,1.5,0,0,1
2813, X1,2019,25450,Semi-Auto,5863,2,145,46.3,1.5,0,0,1
2814, 5 Series,2014,13775,Semi-Auto,51716,1,30,62.8,2.0,0,0,1
2815, 2 Series,2019,21775,Semi-Auto,10570,2,145,47.9,2.0,0,0,1
2816, 5 Series,2015,17970,Semi-Auto,29060,1,145,53.3,3.0,0,0,1
2817, 2 Series,2019,21775,Semi-Auto,8878,2,145,47.9,2.0,0,0,1
2818, X1,2018,21975,Semi-Auto,16719,1,145,60.1,2.0,0,0,1
2819, X1,2017,20975,Semi-Auto,14063,2,160,44.8,2.0,0,0,1
2820, 3 Series,2020,29990,Semi-Auto,12,2,150,41.5,2.0,0,0,1
2821, 3 Series,2020,23990,Manual,5,1,145,56.5,2.0,0,1,0
2822, 5 Series,2020,43990,Semi-Auto,10,2,145,39.2,3.0,0,0,1
2823, 3 Series,2020,23850,Semi-Auto,23,2,145,42.2,2.0,0,0,1
2824, X3,2019,47440,Semi-Auto,6570,2,145,34.5,3.0,0,0,1
2825, 3 Series,2015,16799,Semi-Auto,35365,1,145,57.6,2.0,0,0,1
2826, 3 Series,2015,13275,Manual,61062,1,125,60.1,2.0,0,1,0
2827, 3 Series,2017,21275,Semi-Auto,14714,1,160,51.4,3.0,0,0,1
2828, 3 Series,2015,13975,Manual,41655,1,30,64.2,2.0,0,1,0
2829, X6,2016,29890,Semi-Auto,27838,1,200,47.1,3.0,0,0,1
2830, 1 Series,2018,17975,Manual,12800,1,145,50.4,1.5,0,1,0
2831, 3 Series,2020,23990,Manual,16,1,145,56.5,2.0,0,1,0
2832, 3 Series,2020,24850,Semi-Auto,10,1,145,52.3,2.0,0,0,1
2833, 4 Series,2014,16475,Semi-Auto,17500,2,160,44.8,2.0,0,0,1
2834, X2,2020,30990,Semi-Auto,10,2,145,42.8,1.5,0,0,1
2835, 4 Series,2020,38990,Semi-Auto,9,1,145,47.9,3.0,0,0,1
2836, 5 Series,2020,36990,Semi-Auto,10,1,145,60.1,3.0,0,0,1
2837, 5 Series,2020,32850,Semi-Auto,12,3,145,62.8,2.0,0,0,1
2838, 6 Series,2016,21975,Semi-Auto,28684,1,160,51.4,3.0,0,0,1
2839, 1 Series,2019,18999,Semi-Auto,12011,1,145,65.7,2.0,0,0,1
2840, 3 Series,2019,28950,Semi-Auto,5367,1,145,52.3,2.0,0,0,1
2841, 1 Series,2018,16775,Manual,10842,1,145,65.7,2.0,0,1,0
2842, X5,2019,46950,Semi-Auto,8105,1,145,37.7,3.0,0,0,1
2843, 4 Series,2019,23750,Semi-Auto,9,1,145,65.7,2.0,0,0,1
2844, 4 Series,2018,21975,Semi-Auto,18165,2,145,48.7,2.0,0,0,1
2845, 5 Series,2019,27875,Semi-Auto,3905,1,145,55.4,2.0,0,0,1
2846, 3 Series,2015,20440,Semi-Auto,39000,2,200,41.5,3.0,0,0,1
2847, 7 Series,2019,47975,Semi-Auto,1075,1,145,41.5,3.0,0,0,1
2848, 5 Series,2019,27998,Semi-Auto,6865,1,145,60.1,2.0,0,0,1
2849, 1 Series,2019,19498,Semi-Auto,11602,1,145,67.3,2.0,0,0,1
2850, 3 Series,2017,15498,Semi-Auto,43678,1,150,60.1,2.0,0,0,1
2851, 3 Series,2015,16410,Automatic,35219,1,145,56.5,3.0,1,0,0
2852, X6,2013,20510,Semi-Auto,63592,1,325,36.7,3.0,0,0,1
2853, 7 Series,2014,13600,Automatic,78094,1,160,50.4,3.0,1,0,0
2854, 2 Series,2017,13991,Manual,36045,1,0,74.3,1.5,0,1,0
2855, 1 Series,2014,12111,Semi-Auto,57617,1,125,60.1,2.0,0,0,1
2856, 3 Series,2016,15030,Semi-Auto,43482,1,30,64.2,2.0,0,0,1
2857, 3 Series,2017,12791,Manual,37676,1,30,64.2,2.0,0,1,0
2858, 5 Series,2018,26691,Automatic,28869,2,145,37.7,3.0,1,0,0
2859, 4 Series,2016,17999,Manual,30055,1,145,55.4,2.0,0,1,0
2860, X1,2013,10995,Manual,26642,2,200,40.9,2.0,0,1,0
2861, 3 Series,2019,31880,Semi-Auto,5185,1,145,44.1,3.0,0,0,1
2862, 3 Series,2016,20480,Semi-Auto,22834,1,160,51.4,3.0,0,0,1
2863, X5,2016,24980,Automatic,68854,1,200,47.1,3.0,1,0,0
2864, 3 Series,2013,10480,Manual,36494,1,20,68.9,2.0,0,1,0
2865, 3 Series,2017,19490,Semi-Auto,41816,1,145,64.2,2.0,0,0,1
2866, X3,2018,33980,Semi-Auto,18327,1,145,48.7,3.0,0,0,1
2867, X3,2019,29480,Automatic,7164,1,145,56.5,2.0,1,0,0
2868, X3,2016,22980,Semi-Auto,46389,1,145,54.3,2.0,0,0,1
2869, X1,2017,20980,Semi-Auto,16717,1,145,60.1,2.0,0,0,1
2870, 3 Series,2019,30990,Semi-Auto,1204,1,145,49.6,2.0,0,0,1
2871, 3 Series,2019,27480,Semi-Auto,11103,1,145,52.3,2.0,0,0,1
2872, 4 Series,2019,24250,Semi-Auto,110,1,145,60.1,2.0,0,0,1
2873, 2 Series,2019,19975,Semi-Auto,9503,1,145,49.6,2.0,0,0,1
2874, 5 Series,2019,25990,Semi-Auto,11114,1,145,65.7,2.0,0,0,1
2875, 3 Series,2016,12480,Manual,51379,1,20,68.9,2.0,0,1,0
2876, X4,2019,41980,Semi-Auto,6747,2,145,26.9,3.0,0,0,1
2877, 4 Series,2019,26990,Semi-Auto,8722,1,145,53.3,3.0,0,0,1
2878, 2 Series,2019,19880,Automatic,8556,1,145,52.3,2.0,1,0,0
2879, 2 Series,2019,19980,Semi-Auto,11362,2,145,40.9,1.5,0,0,1
2880, X1,2020,25980,Semi-Auto,19,1,145,60.1,2.0,0,0,1
2881, Z4,2020,29980,Semi-Auto,10,2,145,38.7,2.0,0,0,1
2882, 1 Series,2019,21490,Automatic,7314,1,145,65.7,2.0,1,0,0
2883, 2 Series,2019,22480,Manual,6521,1,145,60.1,2.0,0,1,0
2884, 3 Series,2019,27480,Semi-Auto,5090,2,145,45.6,2.0,0,0,1
2885, 5 Series,2019,26480,Semi-Auto,8601,2,145,50.4,2.0,0,0,1
2886, 4 Series,2019,24980,Semi-Auto,6917,1,145,65.7,2.0,0,0,1
2887, 3 Series,2019,26990,Semi-Auto,7264,1,145,48.7,2.0,0,0,1
2888, 3 Series,2019,27890,Semi-Auto,1984,1,145,48.7,2.0,0,0,1
2889, X1,2019,24550,Manual,3228,2,145,51.4,1.5,0,1,0
2890, X5,2018,44990,Semi-Auto,5321,1,145,36.7,3.0,0,0,1
2891, 8 Series,2018,63980,Semi-Auto,3891,2,145,26.9,4.4,0,0,1
2892, 5 Series,2019,27780,Semi-Auto,12182,1,145,65.7,2.0,0,0,1
2893, 1 Series,2017,18290,Manual,21491,2,260,36.2,3.0,0,1,0
2894, 2 Series,2019,22990,Semi-Auto,682,2,145,47.9,2.0,0,0,1
2895, 1 Series,2020,21450,Manual,1905,2,145,44.1,1.5,0,1,0
2896, X4,2019,41850,Automatic,5789,2,145,26.9,3.0,1,0,0
2897, 3 Series,2019,37980,Semi-Auto,3766,2,145,34.9,3.0,0,0,1
2898, 3 Series,2019,27980,Semi-Auto,5023,2,145,45.6,2.0,0,0,1
2899, 3 Series,2019,37980,Semi-Auto,5470,2,145,34.9,3.0,0,0,1
2900, 3 Series,2019,24450,Manual,3378,1,145,64.2,2.0,0,1,0
2901, 3 Series,2019,24450,Manual,2912,1,145,64.2,2.0,0,1,0
2902, 3 Series,2019,23990,Manual,4710,1,145,54.3,2.0,0,1,0
2903, 3 Series,2019,26440,Manual,102,1,145,54.3,2.0,0,1,0
2904, X2,2019,24990,Semi-Auto,1702,1,145,47.9,2.0,0,0,1
2905, X2,2019,26790,Manual,103,1,145,53.3,2.0,0,1,0
2906, 2 Series,2019,20990,Semi-Auto,1290,2,145,50.4,1.5,0,0,1
2907, X3,2019,41450,Semi-Auto,5651,1,145,36.7,3.0,0,0,1
2908, 3 Series,2018,23890,Semi-Auto,17240,1,145,51.4,3.0,0,0,1
2909, M4,2017,89990,Semi-Auto,1336,2,145,33.2,3.0,0,0,1
2910, 3 Series,2019,24450,Manual,3973,1,145,64.2,2.0,0,1,0
2911, 3 Series,2019,24980,Semi-Auto,6941,2,145,42.2,2.0,0,0,1
2912, 1 Series,2016,11980,Automatic,41081,1,0,74.3,2.0,1,0,0
2913, X1,2019,24480,Semi-Auto,7895,2,145,40.9,1.5,0,0,1
2914, 1 Series,2016,15480,Automatic,28883,1,20,67.3,2.0,1,0,0
2915, 4 Series,2019,25980,Automatic,5577,1,145,55.4,3.0,1,0,0
2916, 1 Series,2019,19980,Automatic,11303,1,145,48.7,2.0,1,0,0
2917, 4 Series,2019,22450,Manual,115,2,145,46.3,2.0,0,1,0
2918, 4 Series,2019,24450,Semi-Auto,8128,1,145,65.7,2.0,0,0,1
2919, 2 Series,2018,16890,Semi-Auto,21688,1,145,56.5,1.5,0,0,1
2920, 2 Series,2019,23450,Semi-Auto,9683,1,145,57.7,2.0,0,0,1
2921, 7 Series,2019,52990,Semi-Auto,4884,1,145,41.5,3.0,0,0,1
2922, X1,2019,24550,Manual,4957,2,145,51.4,1.5,0,1,0
2923, 5 Series,2019,34990,Semi-Auto,101,1,145,53.3,3.0,0,0,1
2924, 1 Series,2019,20875,Semi-Auto,4834,1,145,67.3,2.0,0,0,1
2925, 1 Series,2020,23450,Manual,1524,2,145,44.1,1.5,0,1,0
2926, 1 Series,2020,25890,Manual,1182,1,145,53.3,2.0,0,1,0
2927, 2 Series,2016,13480,Manual,16600,1,20,68.9,2.0,0,1,0
2928, 4 Series,2019,32880,Automatic,5000,2,145,41.5,3.0,1,0,0
2929, 3 Series,2019,25350,Semi-Auto,22095,1,145,52.3,2.0,0,0,1
2930, 3 Series,2019,33875,Semi-Auto,9389,1,145,49.6,2.0,0,0,1
2931, 2 Series,2019,21945,Semi-Auto,9408,2,145,47.9,2.0,0,0,1
2932, 1 Series,2019,17980,Manual,6756,1,145,65.7,2.0,0,1,0
2933, 1 Series,2019,18975,Manual,5650,1,145,65.7,2.0,0,1,0
2934, 1 Series,2019,19875,Semi-Auto,7044,1,145,67.3,2.0,0,0,1
2935, 1 Series,2019,19475,Manual,4168,2,145,52.3,1.5,0,1,0
2936, 1 Series,2019,18990,Manual,3423,1,145,70.6,1.5,0,1,0
2937, 1 Series,2020,23450,Manual,1054,2,145,41.5,1.5,0,1,0
2938, X7,2019,77880,Semi-Auto,6506,1,145,31.4,3.0,0,0,1
2939, 4 Series,2020,30990,Semi-Auto,110,2,145,41.5,3.0,0,0,1
2940, i8,2015,42890,Automatic,43102,3,0,134.5,1.5,1,0,0
2941, 1 Series,2017,13980,Manual,19484,1,145,72.4,1.5,0,1,0
2942, 1 Series,2019,19975,Manual,5303,1,145,65.7,2.0,0,1,0
2943, 1 Series,2019,18675,Manual,3382,1,145,70.6,1.5,0,1,0
2944, 1 Series,2019,17480,Manual,5230,1,145,68.9,2.0,0,1,0
2945, 3 Series,2019,28980,Automatic,6129,1,145,50.4,2.0,1,0,0
2946, 1 Series,2016,13980,Semi-Auto,17533,2,30,58.9,1.5,0,0,1
2947, 2 Series,2019,21980,Manual,8494,1,145,64.2,2.0,0,1,0
2948, X2,2018,19240,Manual,18440,1,145,55.4,2.0,0,1,0
2949, 3 Series,2014,13980,Manual,16376,1,30,62.8,2.0,0,1,0
2950, 5 Series,2019,33980,Automatic,6000,1,145,53.3,3.0,1,0,0
2951, 3 Series,2019,27980,Automatic,5000,1,145,52.3,2.0,1,0,0
2952, 7 Series,2016,35480,Automatic,8814,2,300,35.3,4.4,1,0,0
2953, 2 Series,2019,23480,Semi-Auto,112,2,145,47.9,2.0,0,0,1
2954, 5 Series,2019,31875,Semi-Auto,114,2,145,48.7,2.0,0,0,1
2955, 1 Series,2019,20875,Semi-Auto,5954,1,145,67.3,2.0,0,0,1
2956, 4 Series,2019,33890,Semi-Auto,10,1,145,51.4,3.0,0,0,1
2957, 4 Series,2019,33880,Automatic,11,1,145,51.4,3.0,1,0,0
2958, 4 Series,2019,23990,Semi-Auto,120,1,145,60.1,2.0,0,0,1
2959, 2 Series,2019,21480,Semi-Auto,11,2,145,50.4,1.5,0,0,1
2960, X4,2019,35480,Semi-Auto,10755,1,145,42.8,2.0,0,0,1
2961, 3 Series,2019,24690,Semi-Auto,5246,2,145,47.9,2.0,0,0,1
2962, 3 Series,2019,23980,Semi-Auto,1051,2,145,47.9,2.0,0,0,1
2963, 3 Series,2019,23980,Semi-Auto,2480,2,145,47.9,2.0,0,0,1
2964, 2 Series,2017,16698,Automatic,27201,1,145,64.2,2.0,1,0,0
2965, 1 Series,2014,13798,Manual,50026,2,305,35.3,3.0,0,1,0
2966, 2 Series,2019,20750,Manual,110,2,145,52.3,1.5,0,1,0
