,Model,Year,Price,Transmission,Mileage,Fuel_type,Tax,Fuel_cons_mpg,Engine_size,Automatic,Manual,Semi-Auto
80, X3,2016,21750,Automatic,19083,1,150,54.3,2.0,1,0,0
81, 2 Series,2017,13900,Automatic,46281,2,125,51.4,1.5,1,0,0
82, X1,2017,14000,Automatic,54183,1,150,65.7,2.0,1,0,0
83, X1,2017,15200,Automatic,36701,1,30,65.7,2.0,1,0,0
84, 3 Series,2017,13500,Automatic,48082,2,150,51.4,2.0,1,0,0
85, X1,2016,12150,Manual,77482,1,20,68.9,2.0,0,1,0
86, 2 Series,2017,16000,Automatic,32389,4,0,141.2,1.5,1,0,0
87, 5 Series,2016,14000,Automatic,39235,1,30,62.8,2.0,1,0,0
88, 3 Series,2018,19490,Automatic,30703,1,145,57.6,2.0,1,0,0
89, 1 Series,2015,15499,Semi-Auto,20000,1,125,60.1,2.0,0,0,1
90, 2 Series,2017,13000,Semi-Auto,34971,1,150,72.4,1.5,0,0,1
91, 1 Series,2014,10600,Semi-Auto,44900,1,30,64.2,2.0,0,0,1
92, X3,2017,23000,Semi-Auto,16945,1,150,54.3,2.0,0,0,1
93, M4,2016,29998,Semi-Auto,34209,2,300,34.0,3.0,0,0,1
94, 1 Series,2017,12498,Manual,14138,1,20,72.4,1.5,0,1,0
95, 1 Series,2015,7948,Manual,74375,1,30,65.7,2.0,0,1,0
96, X1,2017,17800,Automatic,31238,1,145,55.4,2.0,1,0,0
97, 3 Series,2015,13100,Manual,37204,1,30,64.2,2.0,0,1,0
98, 1 Series,2017,11400,Manual,26265,1,0,83.1,1.5,0,1,0
99, 3 Series,2016,14800,Automatic,38838,1,125,57.6,2.0,1,0,0
100, X3,2016,15900,Automatic,59692,1,145,54.3,2.0,1,0,0
101, 3 Series,2016,16300,Automatic,34623,1,125,57.6,2.0,1,0,0
102, 3 Series,2017,14800,Manual,29968,1,30,64.2,2.0,0,1,0
103, 3 Series,2017,19700,Automatic,27748,1,200,49.6,3.0,1,0,0
104, 3 Series,2015,14450,Automatic,47288,1,30,62.8,2.0,1,0,0
105, 5 Series,2016,13500,Automatic,64117,1,30,65.7,2.0,1,0,0
106, 5 Series,2015,10900,Automatic,79563,1,125,60.1,2.0,1,0,0
107, 3 Series,2016,12200,Manual,34842,1,30,67.3,2.0,0,1,0
108, 2 Series,2016,10600,Manual,24313,1,0,74.3,1.5,0,1,0
109, 2 Series,2015,9100,Manual,40789,1,0,74.3,1.5,0,1,0
110, 3 Series,2017,12600,Automatic,66743,1,30,67.3,2.0,1,0,0
111, 5 Series,2016,13600,Automatic,65612,1,30,62.8,2.0,1,0,0
112, 1 Series,2016,11700,Manual,21390,1,20,72.4,1.5,0,1,0
113, 3 Series,2017,12450,Automatic,72065,1,20,70.6,2.0,1,0,0
114, 5 Series,2016,13500,Automatic,62444,1,125,60.1,2.0,1,0,0
115, X3,2013,12750,Automatic,71558,1,160,50.4,2.0,1,0,0
116, X1,2017,16700,Automatic,34666,1,145,65.7,2.0,1,0,0
117, 1 Series,2016,11400,Manual,22920,1,20,72.4,1.5,0,1,0
118, X5,2016,21000,Automatic,71626,4,0,85.6,2.0,1,0,0
119, X1,2017,14700,Manual,38405,1,145,68.9,2.0,0,1,0
120, 3 Series,2018,19000,Automatic,20681,1,145,64.2,2.0,1,0,0
121, 3 Series,2017,15400,Automatic,20529,1,145,65.7,2.0,1,0,0
122, X3,2016,19000,Automatic,42691,1,145,54.3,2.0,1,0,0
123, 1 Series,2018,15000,Automatic,10058,2,145,37.2,1.5,1,0,0
124, 3 Series,2016,17950,Automatic,40337,1,145,53.3,3.0,1,0,0
125, 5 Series,2018,22600,Automatic,23195,1,145,65.7,2.0,1,0,0
126, 1 Series,2017,13200,Manual,17117,2,145,53.3,1.5,0,1,0
127, 3 Series,2017,12750,Manual,22153,1,150,68.9,2.0,0,1,0
128, 3 Series,2015,9750,Manual,56038,1,20,68.9,2.0,0,1,0
129, 3 Series,2017,10900,Automatic,78345,1,0,74.3,2.0,1,0,0
130, X4,2016,21400,Automatic,31084,1,145,54.3,2.0,1,0,0
131, 1 Series,2017,14600,Automatic,5615,2,145,58.9,1.5,1,0,0
132, 3 Series,2017,12600,Automatic,55751,2,150,51.4,1.5,1,0,0
133, X4,2017,22500,Automatic,35016,1,150,54.3,2.0,1,0,0
134, 1 Series,2016,8000,Manual,81579,1,0,83.1,1.5,0,1,0
135, X1,2017,14800,Manual,31518,1,145,60.1,2.0,0,1,0
136, 1 Series,2016,9900,Manual,44008,1,0,83.1,1.5,0,1,0
137, 2 Series,2016,9500,Manual,59509,1,20,68.9,2.0,0,1,0
138, 3 Series,2017,17950,Automatic,43703,4,140,134.5,2.0,1,0,0
139, 1 Series,2016,14200,Automatic,36858,1,125,60.1,2.0,1,0,0
140, 1 Series,2016,12100,Automatic,25786,1,0,74.3,2.0,1,0,0
141, 1 Series,2016,12700,Automatic,24592,1,20,68.9,2.0,1,0,0
142, 1 Series,2016,8800,Manual,51002,1,0,83.1,1.5,0,1,0
143, 1 Series,2017,15000,Automatic,26052,1,145,68.9,2.0,1,0,0
144, 3 Series,2017,17100,Automatic,31528,1,145,64.2,2.0,1,0,0
145, X3,2017,21750,Automatic,25776,1,200,47.9,3.0,1,0,0
146, 1 Series,2016,13400,Manual,18055,2,125,52.3,1.5,0,1,0
147, 3 Series,2014,9900,Automatic,63223,1,20,68.9,2.0,1,0,0
